"","OBJECTID","ID","ADDRESS","TERMINAL_NUMBER","LATITUDE","LONGITUDE","location","zipcode"
"169",158974681,138,"Wilson Blvd & Franklin Rd",31020,38.8904,-77.0889,"2519 Wilson Blvd, Arlington, VA 22201, USA","22201"
"170",158974682,139,"Clarendon Blvd & N Fillmore St",31021,38.8881,-77.09308,"1303 N Fillmore St, Arlington, VA 22201, USA","22201"
"171",158974683,140,"Clarendon Metro / Wilson Blvd & N Highland St",31022,38.88786,-77.094875,"1151-1199 N Highland St, Arlington, VA 22201, USA","22201"
"172",158974684,141,"18th St & Pennsylvania Ave NW",31242,38.89968,-77.041539,"763-799 18th St NW, Washington, DC 20006, USA","20006"
"173",158974685,142,"Maryland & Independence Ave SW",31243,38.887299,-77.018939,"562-598 Maryland Ave SW, Washington, DC 20202, USA","20202"
"174",158974686,143,"4th & E St SW",31244,38.88412,-77.017445,"388-408 4th St SW, Washington, DC 20024, USA","20024"
"175",158974687,144,"3rd & G St SE",31625,38.881185,-77.001828,"301-315 G St SE, Washington, DC 20003, USA","20003"
"176",158974688,145,"7th & R St NW / Shaw Library",31245,38.912719,-77.022155,"701-799 R St NW, Washington, DC 20001, USA","20001"
"177",158974689,146,"9th & Upshur St NW",31404,38.9418,-77.0251,"4148-4198 9th St NW, Washington, DC 20011, USA","20011"
"178",158974690,147,"1st & Rhode Island Ave NW",31506,38.915417,-77.012289,"1832 1st St NW, Washington, DC 20001, USA","20001"
"179",158974691,148,"Columbia Rd & Georgia Ave NW",31115,38.928121,-77.023795,"701-737 Columbia Rd NW, Washington, DC 20001, USA","20001"
"180",158974692,149,"California St & Florida Ave NW",31116,38.917761,-77.04062,"1724 California St NW, Washington, DC 20009, USA","20009"
"181",158974693,150,"Benning Rd & East Capitol St NE / Benning Rd Metro",31707,38.889935,-76.93723,"4500-4510 East Capitol St NE, Washington, DC 20019, USA","20019"
"182",158974694,151,"3000 Connecticut Ave NW / National Zoo",31307,38.930282,-77.055599,"3080 Connecticut Ave NW, Washington, DC 20008, USA","20008"
"183",158974695,152,"Anacostia Ave & Benning Rd NE / River Terrace",31708,38.896544,-76.96012,"382-398 Anacostia Ave NE, Washington, DC 20019, USA","20019"
"184",158974696,153,"M St & Pennsylvania Ave NW",31246,38.905126,-77.056887,"1201-1207 28th St NW, Washington, DC 20007, USA","20007"
"185",158974697,154,"15th St & Massachusetts Ave SE",31626,38.88732,-76.983569,"200-206 15th St SE, Washington, DC 20003, USA","20003"
"186",158974698,155,"Congress Heights Metro",31806,38.844711,-76.987823,"1319 Alabama Ave SE, Washington, DC 20032, USA","20032"
"187",158974699,156,"N Quincy St & Glebe Rd",31035,38.876393,-77.107735,"4001 5th St N, Arlington, VA 22203, USA","22203"
"188",158974700,157,"Barcroft Community Center",31033,38.850337,-77.100989,"4200 S Four Mile Run Dr, Arlington, VA 22206, USA","22206"
"189",158974701,158,"N Veitch  & 20th St N",31029,38.896923,-77.086502,"2101-2199 21st St N, Arlington, VA 22201, USA","22201"
"190",158974702,159,"10th & K St NW",31263,38.9024,-77.02622,"1014 K St NW, Washington, DC 20001, USA","20001"
"191",158974703,160,"Fairfax Dr & Wilson Blvd",31023,38.885801,-77.097745,"Fairfax Dr, Arlington, VA 22201, USA","22201"
"192",158974704,161,"Key Blvd & N Quinn St",31027,38.896015,-77.078107,"1614-1698 Key Blvd, Arlington, VA 22209, USA","22209"
"193",158974705,162,"1st & K St SE",31628,38.87861,-77.006004,"925 First St SE, Washington, DC 20003, USA","20003"
"194",158974706,163,"39th & Calvert St NW / Stoddert",31306,38.922649,-77.077271,"3901-3949 Calvert St NW, Washington, DC 20007, USA","20007"
"195",158974707,164,"1st & Washington Hospital Center NW",31507,38.928743,-77.012457,"Hospital Circle NW, Washington, DC 20010, USA","20010"
"196",158974708,165,"Virginia Square Metro / N Monroe St & 9th St N",31024,38.882788,-77.103148,"900 North Monroe Street, Arlington, VA 22203, USA","22203"
"197",158974709,166,"Central Library / N Quincy St & 10th St N",31025,38.88397,-77.10783,"1031-1055 N Quincy St, Arlington, VA 22201, USA","22201"
"198",158974710,167,"Washington Blvd & 10th St N",31026,38.884734,-77.093485,"2900 Washington Blvd, Arlington, VA 22201, USA","22201"
"199",158974711,168,"Jefferson Dr & 14th St SW",31247,38.888553,-77.032429,"1400 Jefferson Dr SW, Washington, DC 20024, USA","20024"
"200",158974712,169,"Smithsonian-National Mall / Jefferson Dr & 12th St SW",31248,38.888767,-77.02858,"1157-1275 Jefferson Dr SW, Washington, DC 20560, USA","20560"
"201",158974713,170,"George Mason Dr & Wilson Blvd",31036,38.87887,-77.1207,"Bluemont Junction Trail, Arlington, VA 22203, USA","22203"
"202",158974714,171,"6th St & Indiana Ave NW",31264,38.894573,-77.01994,"368-398 6th St NW, Washington, DC 20004, USA","20004"
"203",158974715,172,"N Veitch & Key Blvd",31028,38.893241,-77.086045,"1663-1699 N Veitch St, Arlington, VA 22201, USA","22201"
"204",158974716,173,"Lee Hwy & N Adams St",31030,38.89593,-77.089006,"1920 N Adams St, Arlington, VA 22201, USA","22201"
"205",158974717,174,"15th & N Scott St",31031,38.89054,-77.08095,"1901-1931 15th St N, Arlington, VA 22201, USA","22201"
"206",158974718,175,"Washington Blvd & 7th St N",31032,38.880834,-77.091129,"2741-2799 7th St N, Arlington, VA 22201, USA","22201"
"207",158974719,176,"Ballston Metro / N Stuart & 9th St N",31037,38.881044,-77.111768,"900-998 N Stuart St, Arlington, VA 22203, USA","22203"
"208",158974720,177,"N Randolph St & Fairfax Dr",31034,38.882629,-77.109366,"1001 N Randolph St, Arlington, VA 22201, USA","22201"
"209",158974721,178,"Jefferson Memorial",31249,38.879819,-77.037413,"17 E Basin Dr SW, Washington, DC 20242, USA","20242"
"210",158974722,179,"Good Hope Rd & 14th St SE",31803,38.866611,-76.985238,"1907-1909 14th St SE, Washington, DC 20020, USA","20020"
"211",158974723,180,"Glebe Rd & 11th St N",31038,38.883921,-77.116817,"1100-1106 N Glebe Rd, Arlington, VA 22201, USA","22201"
"212",158974724,181,"Wilson Blvd & N Quincy St",31039,38.880012,-77.107854,"4001-4051 Wilson Blvd, Arlington, VA 22217, USA","22217"
"213",158974725,182,"Fairfax Dr & Kenmore St",31040,38.884616,-77.10108,"3401 Fairfax Dr, Arlington, VA 22201, USA","22201"
"214",158974726,183,"Gallaudet / 8th St & Florida Ave NE",31508,38.90509,-76.9941,"Fowler Hall, 800 Florida Ave NE, Washington, DC 20002, USA","20002"
"215",158974727,185,"20th & L St NW",31250,38.903584,-77.044789,"1001-1099 20th St NW, Washington, DC 20036, USA","20036"
"216",158974728,186,"12th & L St NW",31251,38.903819,-77.0284,"1201 L St NW, Washington, DC 20005, USA","20005"
"217",158974729,187,"21st St & Pennsylvania Ave NW",31252,38.901539,-77.046564,"975-987 21st St NW, Washington, DC 20006, USA","20006"
"218",158974730,188,"19th & K St NW",31253,38.902204,-77.04337,"931-999 19th St NW, Washington, DC 20006, USA","20006"
"219",158974731,189,"Prince St & Union St",31041,38.803124,-77.040363,"1 Prince St, Alexandria, VA 22314, USA","22314"
"220",158974732,190,"Market Square / King St & Royal St",31042,38.804718,-77.043363,"301-399 King St, Alexandria, VA 22314, USA","22314"
"221",158974733,191,"Saint Asaph St & Pendleton  St",31043,38.810743,-77.044664,"612 N St Asaph St, Alexandria, VA 22314, USA","22314"
"222",158974734,192,"King St & Patrick St",31044,38.805317,-77.049883,"908 VA-7, Alexandria, VA 22314, USA","22314"
"223",158974735,193,"15th & K St NW",31254,38.902,-77.03353,"955-999 15th St NW, Washington, DC 20005, USA","20005"
"224",158974736,194,"Commerce St & Fayette St",31045,38.805648,-77.05293,"127-199 Commerce St, Alexandria, VA 22314, USA","22314"
